inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
_07561_,C,516.4375,474.95837,516.4375,355.5625,474.9583740234375,392.2291259765625
_07564_,C,516.625,461.13544,516.625,355.375,461.13543701171875,406.05206298828125
_07569_,D,496.80627,461.20837,496.8062744140625,375.1937255859375,461.2083740234375,405.9791259765625
_07616_,B1_N,504.58337,585.59375,504.5833740234375,367.4166259765625,585.59375,281.59375
_07617_,A0,504.61462,579.07294,504.6146240234375,367.3853759765625,579.0729370117188,288.11456298828125
P1.IR[4]$_DFF_PP0_,Q,500.06253,648.6563,500.0625305175781,371.9374694824219,648.6563110351562,218.53118896484375
_07483_,A,510.52087,551.32294,510.5208740234375,361.4791259765625,551.3229370117188,315.86456298828125
_07518_,A,510.6042,502.70837,510.60418701171875,361.39581298828125,502.7083740234375,364.4791259765625
_07541_,A,512.50006,558.26044,512.5000610351562,359.49993896484375,558.2604370117188,308.92706298828125
_07547_,C,515.5625,544.7708,515.5625,356.4375,544.7708129882812,322.41668701171875
_07561_,B,515.275,474.95837,515.2750244140625,356.7249755859375,474.9583740234375,392.2291259765625
_07564_,B,515.5208,461.13544,515.5208129882812,356.47918701171875,461.13543701171875,406.05206298828125
_07569_,C,498.30627,461.20837,498.3062744140625,373.6937255859375,461.2083740234375,405.9791259765625
_07618_,C,505.9792,571.71875,505.97918701171875,366.02081298828125,571.71875,295.46875
P1.IR[5]$_DFF_PP0_,Q,497.06253,593.1563,497.0625305175781,374.9374694824219,593.1563110351562,274.03118896484375
_07488_,D,515.8063,447.33337,515.8062744140625,356.1937255859375,447.3333740234375,419.8541259765625
_07503_,D,503.80627,440.39587,503.8062744140625,368.1937255859375,440.3958740234375,426.7916259765625
_07519_,D,512.5625,486.65628,512.5625,359.4375,486.6562805175781,380.5312194824219
_07543_,A,506.50003,565.19794,506.5000305175781,365.4999694824219,565.1979370117188,301.98956298828125
_07544_,A1,516.375,572.13544,516.375,355.625,572.1354370117188,295.05206298828125
_07547_,B,514.38544,545.5417,514.3854370117188,357.61456298828125,545.5416870117188,321.64581298828125
_07552_,A3,504.6667,510.8542,504.66668701171875,367.33331298828125,510.85418701171875,356.33331298828125
_07618_,B,507.45837,570.94794,507.4583740234375,364.5416259765625,570.9479370117188,296.23956298828125
_07619_,A,511.6042,572.0833,511.60418701171875,360.39581298828125,572.0833129882812,295.10418701171875
P1.IR[6]$_DFF_PP0_,Q,495.06253,579.28125,495.0625305175781,376.9374694824219,579.28125,287.90625
_07552_,A2,505.76044,510.8542,505.76043701171875,366.23956298828125,510.85418701171875,356.33331298828125
_07547_,A,512.69165,543.96875,512.691650390625,359.308349609375,543.96875,323.21875
_07545_,A,518.5,565.19794,518.5,353.5,565.1979370117188,301.98956298828125
_07519_,C,514.6042,489.08337,514.6041870117188,357.39581298828125,489.0833740234375,378.1041259765625
